client timestamp,button,state,x,y
1.8894248008728027,NoButton,Move,899,370
1.9094133377075195,NoButton,Move,902,392
1.9244022369384766,NoButton,Move,912,417
1.9293997287750244,NoButton,Move,917,423
1.9353983402252197,NoButton,Move,921,428
1.939394235610962,NoButton,Move,923,432
1.9433915615081787,NoButton,Move,930,436
1.948390007019043,NoButton,Move,935,438
1.9533874988555908,NoButton,Move,943,443
1.9563839435577393,NoButton,Move,947,445
1.959381341934204,NoButton,Move,953,449
1.9633808135986328,NoButton,Move,958,451
1.9663777351379395,NoButton,Move,967,458
1.9693756103515625,NoButton,Move,975,462
1.9723756313323975,NoButton,Move,984,466
1.975372552871704,NoButton,Move,991,470
1.9793720245361328,NoButton,Move,1008,476
1.9823689460754395,NoButton,Move,1015,478
1.986368179321289,NoButton,Move,1028,484
1.9913640022277832,NoButton,Move,1044,488
1.9953641891479492,NoButton,Move,1058,493
1.9983792304992676,NoButton,Move,1072,497
2.0013585090637207,NoButton,Move,1080,499
2.0043764114379883,NoButton,Move,1097,504
2.007356643676758,NoButton,Move,1104,506
2.010352373123169,NoButton,Move,1120,509
2.0143706798553467,NoButton,Move,1138,512
2.016369104385376,NoButton,Move,1146,513
2.0193676948547363,NoButton,Move,1161,516
2.0223655700683594,NoButton,Move,1171,518
2.0253641605377197,NoButton,Move,1179,520
2.029360294342041,NoButton,Move,1196,522
2.0323610305786133,NoButton,Move,1212,526
2.0363378524780273,NoButton,Move,1226,528
2.039356231689453,NoButton,Move,1234,529
2.0423550605773926,NoButton,Move,1252,533
2.0463521480560303,NoButton,Move,1269,535
2.0493505001068115,NoButton,Move,1276,537
2.0523486137390137,NoButton,Move,1292,540
2.055347204208374,NoButton,Move,1301,540
2.058344841003418,NoButton,Move,1316,543
2.062326431274414,NoButton,Move,1333,546
2.065340757369995,NoButton,Move,1348,548
2.0683391094207764,NoButton,Move,1354,549
2.0723369121551514,NoButton,Move,1369,551
2.0753366947174072,NoButton,Move,1375,552
2.0793333053588867,NoButton,Move,1387,553
