record timestamp,client timestamp,button,state,x,y
0.0,0.0,NoButton,Move,469,1508
0.3892045021057129,0.3892045021057129,NoButton,Move,695,1654
0.8052043914794922,0.8052043914794922,NoButton,Move,1021,1532
1.23714280128479,1.23714280128479,NoButton,Move,1105,1574
1.631317377090454,1.631317377090454,NoButton,Move,970,1567
2.581364631652832,2.581364631652832,NoButton,Move,1314,1453
2.969496965408325,2.969496965408325,NoButton,Move,1579,1147
3.9237587451934814,3.9237587451934814,NoButton,Move,954,1252
4.3432977199554434,4.3432977199554434,NoButton,Move,973,1274
4.8075129985809335,4.8075129985809335,NoButton,Move,883,1374
5.4294984340667725,5.4294984340667725,NoButton,Move,734,1270
5.987616539001465,5.987616539001465,NoButton,Move,476,1110
7.244601726531982,7.244601726531982,NoButton,Move,466,1147
7.658380270004272,7.658380270004272,NoButton,Move,591,1134
9.114015579223633,9.114015579223633,NoButton,Move,1018,1093
9.78051781654358,9.78051781654358,NoButton,Move,869,1604
10.223788738250732,10.223788738250732,NoButton,Move,578,1656
10.966023206710815,10.966023206710815,NoButton,Move,641,1645
11.534059762954712,11.534059762954712,NoButton,Move,674,1631
12.220155954360962,12.220155954360962,NoButton,Move,605,1645
14.1150963306427,14.1150963306427,NoButton,Move,820,1592
16.55623507499695,16.55623507499695,NoButton,Move,788,1561
17.504257917404175,17.504257917404175,NoButton,Move,693,1415
21.543725728988647,21.543725728988647,NoButton,Move,1304,1090
22.280765056610107,22.280765056610107,NoButton,Move,1088,1241
24.635800123214718,24.635800123214718,NoButton,Move,868,1137
25.25886654853821,25.25886654853821,NoButton,Move,823,1411
26.327338218688965,26.327338218688965,NoButton,Move,953,1571
26.944401264190674,26.944401264190674,NoButton,Move,870,1781
27.64296245574951,27.64296245574951,NoButton,Move,939,1531
28.458459615707397,28.458459615707397,NoButton,Move,935,1537
29.441417932510376,29.441417932510376,NoButton,Move,918,1455
30.13086748123169,30.13086748123169,NoButton,Move,1017,1380
31.34797716140747,31.34797716140747,NoButton,Move,1225,1173
32.837203979492195,32.837203979492195,NoButton,Move,1450,1150
33.53421115875244,33.53421115875244,NoButton,Move,1037,1327
36.265093564987176,36.265093564987176,NoButton,Move,1126,1698
36.9300856590271,36.9300856590271,NoButton,Move,834,1564
37.655852317810066,37.655852317810066,NoButton,Move,969,1519
38.811091184616096,38.811091184616096,NoButton,Move,1031,1472
39.830008745193474,39.830008745193474,NoButton,Move,693,1589
41.270880222320564,41.270880222320564,NoButton,Move,806,1615
42.25516843795776,42.25516843795776,NoButton,Move,594,1565
42.87519121170044,42.87519121170044,NoButton,Move,458,1457
43.33913087844849,43.33913087844849,NoButton,Move,589,1488
44.261191129684455,44.261191129684455,NoButton,Move,527,1454
45.17212200164795,45.17212200164795,NoButton,Move,546,1477
45.63091230392456,45.63091230392456,NoButton,Move,506,1663
46.4375536441803,46.4375536441803,NoButton,Move,528,1503
47.4748158454895,47.4748158454895,Left,Released,533,1454
48.41458177566528,48.41458177566528,NoButton,Move,795,1476
52.09402418136597,52.09402418136597,NoButton,Move,350,172
57.108617305755615,57.108617305755615,NoButton,Move,306,1847
57.49876594543457,57.49876594543457,NoButton,Move,1064,1524
57.88659191131592,57.88659191131592,NoButton,Move,340,1847
58.28903365135193,58.28903365135193,NoButton,Move,623,1477
58.677340507507324,58.677340507507324,NoButton,Move,966,1672
59.26284837722778,59.26284837722778,NoButton,Move,752,1474
60.129400730133064,60.129400730133064,Left,Pressed,860,1540
87.02556943893433,87.02556943893433,NoButton,Move,702,1544
87.67761111259459,87.67761111259459,NoButton,Move,818,1523
88.38396453857422,88.38396453857422,NoButton,Move,818,1444
91.31939172744751,91.31939172744751,NoButton,Move,587,1747
92.06392312049866,92.06392312049866,NoButton,Move,704,1752
92.7498939037323,92.7498939037323,NoButton,Move,824,1666
93.31831169128418,93.31831169128418,NoButton,Move,738,1705
93.83206844329834,93.83206844329834,NoButton,Move,1091,1616
94.22016525268556,94.22016525268556,NoButton,Move,332,1391
94.72625827789308,94.72625827789308,NoButton,Move,306,1245
95.26427602767944,95.26427602767944,NoButton,Move,306,1322
95.7663960456848,95.7663960456848,NoButton,Move,992,1211
96.21027684211731,96.21027684211731,NoButton,Move,916,1236
96.97432422637941,96.97432422637941,NoButton,Move,955,1166
98.01043510437012,98.01043510437012,NoButton,Move,1036,1112
99.0118670463562,99.0118670463562,NoButton,Move,1013,1127
99.44336867332458,99.44336867332458,NoButton,Move,791,1166
100.24331712722778,100.24331712722778,NoButton,Move,597,1157
100.99859046936035,100.99859046936035,NoButton,Move,566,1236
101.38467025756836,101.38467025756836,NoButton,Move,669,888
101.7750208377838,101.7750208377838,NoButton,Move,1917,81
102.5044116973877,102.5044116973877,Left,Released,1901,20
102.97586488723756,102.97586488723756,NoButton,Move,336,1225
103.58910346031188,103.58910346031188,NoButton,Move,343,1297
104.22302508354187,104.22302508354187,NoButton,Move,445,1156
104.76821494102478,104.76821494102478,NoButton,Move,461,572
105.1510877609253,105.1510877609253,NoButton,Move,348,25
106.59121513366699,106.59121513366699,NoButton,Move,334,65
107.6460030078888,107.6460030078888,NoButton,Move,208,1001
108.07543087005615,108.07543087005615,NoButton,Move,1316,1203
108.84180212020874,108.84180212020874,Middle,Released,1397,1129
109.48101663589478,109.48101663589478,NoButton,Move,306,1405
110.00379872322084,110.00379872322084,NoButton,Move,440,1455
110.66796898841858,110.66796898841858,NoButton,Move,380,1509
111.15571522712708,111.15571522712708,NoButton,Move,867,1454
112.24211931228638,112.24211931228638,NoButton,Move,1019,1483
112.7739155292511,112.7739155292511,NoButton,Move,509,1385
113.377831697464,113.377831697464,NoButton,Move,515,1428
114.245285987854,114.245285987854,NoButton,Move,714,1651
114.61356520652771,114.61356520652771,NoButton,Move,818,1482
115.05213689804077,115.05213689804077,NoButton,Move,771,1462
115.68602180480957,115.68602180480957,NoButton,Move,81,509
116.06012988090515,116.06012988090515,NoButton,Move,714,339
116.58633494377136,116.58633494377136,NoButton,Move,642,399
117.4594202041626,117.4594202041626,NoButton,Move,566,455
117.86263942718506,117.86263942718506,NoButton,Move,393,581
118.4884626865387,118.4884626865387,NoButton,Move,392,682
119.01342892646791,119.01342892646791,NoButton,Move,387,629
119.49127173423769,119.49127173423769,NoButton,Move,431,546
121.23875164985657,121.23875164985657,NoButton,Move,365,577
122.6810564994812,122.6810564994812,NoButton,Move,344,573
123.78758525848387,123.78758525848387,NoButton,Move,352,548
125.3733775615692,125.3733775615692,Scroll,Down,0,0
126.06558465957642,126.06558465957642,Scroll,Down,0,0
127.99204540252686,127.99204540252686,Scroll,Up,0,0
128.4820418357849,128.4820418357849,Scroll,Up,0,0
129.12941789627078,129.12941789627078,NoButton,Move,355,515
132.1416916847229,132.1416916847229,NoButton,Move,330,508
133.1204328536987,133.1204328536987,NoButton,Move,833,975
133.55214858055115,133.55214858055115,NoButton,Move,339,737
134.13196182250977,134.13196182250977,NoButton,Move,302,706
135.17204403877258,135.17204403877258,NoButton,Move,269,663
137.27446246147156,137.27446246147156,NoButton,Move,245,654
138.42904043197632,138.42904043197632,NoButton,Move,342,597
138.77051210403442,138.77051210403442,NoButton,Move,362,123
140.29689264297483,140.29689264297483,NoButton,Move,358,141
141.12867259979245,141.12867259979245,NoButton,Move,443,293
141.63137936592105,141.63137936592105,NoButton,Move,402,307
142.3167679309845,142.3167679309845,NoButton,Move,592,528
142.768705368042,142.768705368042,NoButton,Move,410,339
143.1752932071686,143.1752932071686,NoButton,Move,394,288
144.48880767822266,144.48880767822266,NoButton,Move,355,328
145.04393362998962,145.04393362998962,NoButton,Move,920,529
146.18432354927063,146.18432354927063,NoButton,Move,814,509
146.5134196281433,146.5134196281433,NoButton,Move,308,987
147.7953908443451,147.7953908443451,NoButton,Move,277,1032
148.68039202690125,148.68039202690125,NoButton,Move,214,1058
149.35184741020203,149.35184741020203,NoButton,Move,251,995
149.9735612869263,149.9735612869263,NoButton,Move,931,266
150.6381592750549,150.6381592750549,NoButton,Move,938,136
151.18158221244812,151.18158221244812,NoButton,Move,508,427
152.30400896072388,152.30400896072388,NoButton,Move,336,444
152.86384224891663,152.86384224891663,NoButton,Move,105,0
153.48591566085815,153.48591566085815,NoButton,Move,580,614
154.23704910278317,154.23704910278317,Left,Pressed,342,286
155.02805447578433,155.02805447578433,NoButton,Move,411,491
155.6080679893494,155.6080679893494,NoButton,Move,415,557
156.72228074073792,156.72228074073792,NoButton,Move,360,373
157.1502013206482,157.1502013206482,NoButton,Move,542,609
158.20448470115662,158.20448470115662,NoButton,Move,605,630
158.5948321819305,158.5948321819305,NoButton,Move,706,638
159.23996949195862,159.23996949195862,NoButton,Move,722,679
159.6489803791046,159.6489803791046,NoButton,Move,722,739
160.49053812026978,160.49053812026978,NoButton,Move,568,254
